"present","category","traitID","islands"
0,"hull","CAB1","Hawaii"
0,"hull","CAB2","Hawaii"
0,"hull","CAH2","Hawaii"
0,"hull","CAH5","Hawaii"
0,"hull","CAH6","Hawaii"
0,"hull","CAH7","Hawaii"
1,"hull","CAH8","Hawaii"
0,"hull","CAH9","Hawaii"
0,"hull","CAH10","Hawaii"
1,"hull","CAH11","Hawaii"
0,"hull","CAH12","Hawaii"
1,"hull","CAH13","Hawaii"
1,"hull","CAH14","Hawaii"
1,"hull","CAO3","Hawaii"
0,"hull","CBULK","Hawaii"
0,"hull","CBS1","Hawaii"
1,"hull","CBS2","Hawaii"
0,"hull","CBS4","Hawaii"
0,"decoration","CD1M","Hawaii"
1,"decoration","CD12M","Hawaii"
0,"decoration","CD14","Hawaii"
0,"decoration","CD15M","Hawaii"
1,"sailrigging","CS1","Hawaii"
0,"sailrigging","CS2","Hawaii"
1,"sailrigging","CS4","Hawaii"
0,"sailrigging","CS4A","Hawaii"
1,"sailrigging","CS5","Hawaii"
0,"sailrigging","CS7","Hawaii"
0,"sailrigging","CSL","Hawaii"
0,"hull","CSHU","Hawaii"
1,"doublecanoe","DAP1M","Hawaii"
0,"doublecanoe","DAP2","Hawaii"
0,"doublecanoe","DAF3","Hawaii"
1,"doublecanoe","DAL72","Hawaii"
1,"doublecanoe","DAL96","Hawaii"
1,"doublecanoe","DAL120","Hawaii"
1,"doublecanoe","DH1","Hawaii"
0,"doublecanoe","DH2","Hawaii"
1,"outrigger","OAL48","Hawaii"
1,"outrigger","OAL72","Hawaii"
0,"outrigger","OAP1","Hawaii"
0,"outrigger","OAO4","Hawaii"
1,"outrigger","OB1","Hawaii"
0,"outrigger","OB2","Hawaii"
1,"outrigger","OB3","Hawaii"
0,"outrigger","OB4","Hawaii"
1,"outrigger","OB5","Hawaii"
0,"outrigger","OB6","Hawaii"
0,"outrigger","OB7","Hawaii"
1,"outrigger","OB8","Hawaii"
0,"outrigger","OB9","Hawaii"
0,"outrigger","OB10","Hawaii"
0,"outrigger","OB11","Hawaii"
0,"outrigger","OB14","Hawaii"
0,"paddle","PD21","Hawaii"
0,"paddle","PD22","Hawaii"
0,"paddle","PD23","Hawaii"
0,"paddle","PD24","Hawaii"
1,"paddle","PP1","Hawaii"
0,"paddle","PP2","Hawaii"
0,"paddle","PP3","Hawaii"
1,"paddle","PP4","Hawaii"
1,"paddle","PS1","Hawaii"
0,"sailrigging","DOR5","Hawaii"
0,"sailrigging","DOR7","Hawaii"
1,"hull","CAB1","Marq"
1,"hull","CAB2","Marq"
1,"hull","CAH2","Marq"
0,"hull","CAH5","Marq"
0,"hull","CAH6","Marq"
0,"hull","CAH7","Marq"
1,"hull","CAH8","Marq"
1,"hull","CAH9","Marq"
1,"hull","CAH10","Marq"
1,"hull","CAH11","Marq"
0,"hull","CAH12","Marq"
0,"hull","CAH13","Marq"
0,"hull","CAH14","Marq"
0,"hull","CAO3","Marq"
1,"hull","CBULK","Marq"
0,"hull","CBS1","Marq"
0,"hull","CBS2","Marq"
1,"hull","CBS4","Marq"
1,"decoration","CD1M","Marq"
1,"decoration","CD12M","Marq"
0,"decoration","CD14","Marq"
1,"decoration","CD15M","Marq"
1,"sailrigging","CS1","Marq"
0,"sailrigging","CS2","Marq"
1,"sailrigging","CS4","Marq"
0,"sailrigging","CS4A","Marq"
1,"sailrigging","CS5","Marq"
0,"sailrigging","CS7","Marq"
0,"sailrigging","CSL","Marq"
0,"hull","CSHU","Marq"
0,"doublecanoe","DAP1M","Marq"
0,"doublecanoe","DAP2","Marq"
0,"doublecanoe","DAF3","Marq"
0,"doublecanoe","DAL72","Marq"
0,"doublecanoe","DAL96","Marq"
0,"doublecanoe","DAL120","Marq"
0,"doublecanoe","DH1","Marq"
0,"doublecanoe","DH2","Marq"
1,"outrigger","OAL48","Marq"
1,"outrigger","OAL72","Marq"
1,"outrigger","OAP1","Marq"
0,"outrigger","OAO4","Marq"
1,"outrigger","OB1","Marq"
0,"outrigger","OB2","Marq"
1,"outrigger","OB3","Marq"
1,"outrigger","OB4","Marq"
1,"outrigger","OB5","Marq"
1,"outrigger","OB6","Marq"
0,"outrigger","OB7","Marq"
1,"outrigger","OB8","Marq"
0,"outrigger","OB9","Marq"
1,"outrigger","OB10","Marq"
0,"outrigger","OB11","Marq"
0,"outrigger","OB14","Marq"
1,"paddle","PD21","Marq"
0,"paddle","PD22","Marq"
1,"paddle","PD23","Marq"
0,"paddle","PD24","Marq"
1,"paddle","PP1","Marq"
0,"paddle","PP2","Marq"
0,"paddle","PP3","Marq"
1,"paddle","PP4","Marq"
0,"paddle","PS1","Marq"
0,"sailrigging","DOR5","Marq"
0,"sailrigging","DOR7","Marq"
1,"hull","CAB1","Tuam"
1,"hull","CAB2","Tuam"
0,"hull","CAH2","Tuam"
1,"hull","CAH5","Tuam"
1,"hull","CAH6","Tuam"
0,"hull","CAH7","Tuam"
1,"hull","CAH8","Tuam"
0,"hull","CAH9","Tuam"
1,"hull","CAH10","Tuam"
1,"hull","CAH11","Tuam"
0,"hull","CAH12","Tuam"
0,"hull","CAH13","Tuam"
0,"hull","CAH14","Tuam"
0,"hull","CAO3","Tuam"
0,"hull","CBULK","Tuam"
1,"hull","CBS1","Tuam"
1,"hull","CBS2","Tuam"
1,"hull","CBS4","Tuam"
0,"decoration","CD1M","Tuam"
1,"decoration","CD12M","Tuam"
1,"decoration","CD14","Tuam"
0,"decoration","CD15M","Tuam"
1,"sailrigging","CS1","Tuam"
0,"sailrigging","CS2","Tuam"
0,"sailrigging","CS4","Tuam"
1,"sailrigging","CS4A","Tuam"
0,"sailrigging","CS5","Tuam"
0,"sailrigging","CS7","Tuam"
1,"sailrigging","CSL","Tuam"
0,"hull","CSHU","Tuam"
1,"doublecanoe","DAP1M","Tuam"
1,"doublecanoe","DAP2","Tuam"
0,"doublecanoe","DAF3","Tuam"
1,"doublecanoe","DAL72","Tuam"
1,"doublecanoe","DAL96","Tuam"
