"Hawaii","Marq","Tuam","Soci","Aust","Cook","Mani","Newz","Samo","Tong","Fiji","category","traitID"
0,1,1,0,0,0,1,1,0,0,0,"hull","CAB1"
0,1,1,0,0,0,1,1,0,1,1,"hull","CAB2"
0,1,0,1,0,1,1,1,0,0,1,"hull","CAH2"
0,0,1,0,1,0,0,0,1,1,1,"hull","CAH5"
0,0,1,1,1,0,0,0,1,1,1,"hull","CAH6"
0,0,0,0,0,0,1,0,0,1,0,"hull","CAH7"
1,1,1,1,0,0,0,1,0,1,1,"hull","CAH8"
0,1,0,1,0,1,1,0,0,0,1,"hull","CAH9"
0,1,1,1,0,0,1,0,1,0,1,"hull","CAH10"
1,1,1,1,1,1,1,0,1,1,1,"hull","CAH11"
0,0,0,0,0,0,0,1,0,0,1,"hull","CAH12"
1,0,0,0,0,1,1,0,0,0,0,"hull","CAH13"
1,0,0,0,0,0,1,0,0,0,0,"hull","CAH14"
1,0,0,0,0,0,0,0,0,0,0,"hull","CAO3"
0,1,0,0,0,0,0,0,0,0,0,"hull","CBULK"
0,0,1,1,0,0,1,0,1,1,1,"hull","CBS1"
1,0,1,0,1,1,1,0,0,0,0,"hull","CBS2"
0,1,1,1,1,1,0,1,0,0,0,"hull","CBS4"
0,1,0,1,1,1,1,1,1,1,1,"decoration","CD1M"
1,1,1,1,1,1,0,0,0,1,1,"decoration","CD12M"
0,0,1,0,1,0,1,0,1,1,1,"decoration","CD14"
0,1,0,0,0,0,1,0,0,0,0,"decoration","CD15M"
1,1,1,1,0,0,0,1,1,1,1,"sailrigging","CS1"
0,0,0,1,0,0,1,1,0,0,0,"sailrigging","CS2"
1,1,0,1,0,1,0,1,1,1,1,"sailrigging","CS4"
0,0,1,1,1,1,1,0,1,1,1,"sailrigging","CS4A"
1,1,0,1,0,0,0,1,0,0,1,"sailrigging","CS5"
0,0,0,0,0,0,0,0,1,1,1,"sailrigging","CS7"
0,0,1,1,0,0,0,0,0,0,0,"sailrigging","CSL"
0,0,0,0,0,0,0,0,1,1,0,"hull","CSHU"
1,0,1,1,1,1,0,1,1,1,1,"doublecanoe","DAP1M"
0,0,1,1,1,1,0,0,0,1,1,"doublecanoe","DAP2"
0,0,0,1,0,0,0,0,0,0,0,"doublecanoe","DAF3"
1,0,1,1,0,1,0,1,1,1,1,"doublecanoe","DAL72"
1,0,1,1,0,1,0,0,1,0,1,"doublecanoe","DAL96"
1,0,1,1,0,0,0,0,1,0,1,"doublecanoe","DAL120"
1,0,1,1,0,1,1,1,1,1,0,"doublecanoe","DH1"
0,0,1,0,0,1,0,0,1,1,1,"doublecanoe","DH2"
1,1,0,1,1,1,1,0,1,1,1,"outrigger","OAL48"
1,1,0,0,0,0,0,0,1,1,1,"outrigger","OAL72"
0,1,0,1,1,0,0,0,0,1,1,"outrigger","OAP1"
0,0,0,1,0,0,0,0,1,1,0,"outrigger","OAO4"
1,1,1,1,1,1,0,0,0,0,0,"outrigger","OB1"
0,0,1,0,1,1,0,0,1,0,0,"outrigger","OB2"
1,1,1,1,1,1,1,0,1,1,0,"outrigger","OB3"
0,1,1,0,0,0,1,1,1,1,1,"outrigger","OB4"
1,1,1,0,1,1,0,0,1,0,0,"outrigger","OB5"
0,1,0,0,0,1,1,1,1,1,1,"outrigger","OB6"
0,0,1,1,0,0,0,0,0,0,0,"outrigger","OB7"
1,1,1,1,1,0,0,0,0,0,0,"outrigger","OB8"
0,0,0,1,1,1,0,0,1,0,0,"outrigger","OB9"
0,1,1,1,0,1,1,1,1,1,1,"outrigger","OB10"
0,0,1,1,0,1,0,0,0,1,0,"outrigger","OB11"
0,0,0,0,0,0,0,0,0,1,0,"outrigger","OB14"
0,1,0,0,1,0,0,1,0,0,0,"paddle","PD21"
0,0,0,0,1,0,0,0,0,0,0,"paddle","PD22"
0,1,0,0,1,1,0,1,0,0,0,"paddle","PD23"
0,0,0,0,0,1,0,1,0,0,0,"paddle","PD24"
1,1,1,1,1,0,0,0,1,1,1,"paddle","PP1"
0,0,0,0,1,0,1,1,0,0,1,"paddle","PP2"
0,0,1,0,0,1,1,0,1,0,0,"paddle","PP3"
1,1,1,0,0,1,0,1,0,0,0,"paddle","PP4"
1,0,1,1,1,1,1,1,0,1,1,"paddle","PS1"
0,0,1,1,0,1,1,0,1,1,1,"sailrigging","DOR5"
0,0,1,1,0,1,1,0,0,0,0,"sailrigging","DOR7"
